transaction_id,sender_account_id,receiver_account_id,timestamp,amount,account_age_days,is_odd_hour,is_round_amount,anomaly_score
7575,1132,1180,2024-10-26 00:19:06,4637.81,91,1,0,0.0
5049,1465,1486,2024-10-01 01:00:30,95.84,113,1,0,0.00440359591079049
2050,1041,1197,2025-07-04 01:21:05,4891.71,1742,1,0,0.011475069522834825
8385,1254,1288,2024-10-20 01:47:16,4563.06,76,1,0,0.012134341722547218
58,1454,1122,2024-12-12 02:35:32,4802.33,155,1,0,0.01769523315385864
8211,1214,1086,2025-01-30 00:46:29,17.66,149,1,0,0.01801696137862502
9971,1200,1063,2024-10-18 03:29:20,558.74,73,1,0,0.02873207928497713
2934,1433,1371,2025-09-02 04:27:10,292.5,1801,1,0,0.03239631057480542
6426,1321,1494,2024-10-05 03:24:56,4463.76,84,1,0,0.03407420607571744
8448,1208,1004,2024-10-03 03:42:04,4594.04,113,1,0,0.03430050721487947
929,1459,1383,2024-09-24 03:22:08,244.22,119,1,0,0.03443066819350013
1195,1184,1146,2024-11-18 05:46:21,4986.08,212,1,0,0.03630190117945166
2482,1172,1295,2024-11-20 02:21:58,331.82,78,1,0,0.03940447486412223
7176,1172,1466,2025-03-25 00:00:30,4999.85,203,1,0,0.04030306675440312
9838,1193,1465,2024-11-02 03:15:50,183.44,143,1,0,0.04315837061762274
9333,1114,1302,2024-09-28 05:11:18,699.93,24,1,0,0.04531287529295738
6256,1410,1355,2024-10-09 05:43:07,265.38,123,1,0,0.0465665674699125
5274,1298,1403,2024-10-02 00:10:51,190.41,148,1,0,0.047150264480319636
5314,1179,1111,2024-12-04 04:51:36,4291.76,99,1,0,0.05209753687463413
8775,1035,1198,2024-11-04 05:39:37,4434.81,97,1,0,0.054088112949164165
2281,1349,1281,2025-01-11 02:32:51,95.95,162,1,0,0.056694102526172484
7060,1039,1216,2025-07-13 03:22:41,70.43,1730,1,0,0.05700729140907264
546,1134,1009,2024-10-16 00:32:31,4931.37,219,1,0,0.05865354005174576
1915,1497,1353,2024-12-11 04:29:00,4938.64,234,1,0,0.06262448045528599
1653,1261,1489,2024-10-09 20:14:13,4985.04,45,0,0,0.06831372949822838
5554,1385,1220,2024-11-01 02:34:05,4786.32,184,1,0,0.06996312428876732
7948,1117,1057,2025-02-25 04:55:05,4773.2,176,1,0,0.06996312428876732
9381,1181,1117,2025-09-04 02:03:19,4915.84,1681,1,0,0.07059953008254943
4647,1172,1037,2025-02-01 00:35:57,4538.62,151,1,0,0.0757791599004339
9622,1025,1066,2024-12-03 05:29:51,95.38,175,1,0,0.08359014455992683
9150,1287,1405,2025-06-16 04:25:26,4992.4,1603,1,0,0.08547017305151194
4798,1110,1292,2024-09-25 01:57:56,4103.73,105,1,0,0.08704318385215194
2102,1026,1363,2024-09-16 02:57:28,977.47,3,1,0,0.0909623706811992
1703,1232,1412,2024-12-19 03:48:31,4902.24,244,1,0,0.09165963135909509
8915,1465,1486,2024-11-10 05:57:24,4423.19,154,1,0,0.09558060357997047
1668,1163,1369,2024-11-02 01:36:04,970.24,78,1,0,0.09685125455414814
6940,1026,1075,2025-04-29 04:10:04,4853.89,228,1,0,0.09950041586278519
9908,1208,1412,2024-10-05 04:24:25,848.37,115,1,0,0.10188304068836537
78,1163,1126,2024-09-16 00:46:59,3312.68,31,1,0,0.10384562643700213
9065,1349,1292,2024-10-11 13:13:47,52.92,71,0,0,0.10422114226383007
3880,1172,1313,2025-02-03 02:43:18,4200.99,153,1,0,0.10446922611582266
103,1349,1199,2025-02-20 05:43:33,4806.26,202,1,0,0.10537198713829597
6930,1117,1177,2024-10-07 05:00:34,1275.81,35,1,0,0.10842558727855822
7194,1250,1259,2024-10-05 23:00:43,3380.44,89,1,0,0.10874109962888151
9308,1226,1313,2025-02-07 00:23:13,4983.09,1587,1,0,0.10899857081070245
6636,1087,1222,2024-09-29 05:52:36,4692.35,189,1,0,0.10943014378722536
2575,1200,1008,2024-09-14 23:48:24,2754.52,40,1,0,0.1096416910068932
7381,1082,1012,2024-09-18 00:19:18,4722.2,198,1,0,0.11074161650060983
9051,1208,1232,2024-09-22 02:09:03,926.97,102,1,0,0.11074586936639615
2414,1261,1396,2024-10-18 23:37:49,3656.74,55,1,0,0.11121979931027484
